POSTAL_CODE,PROVINCE_ENGLISH,PROVINCE_THAI,DISTRICT_ENGLISH,DISTRICT_THAI,SUB_DISTRICT_ENGLISH,SUB_DISTRICT_THAI,LATITUDE,LONGITUDE
10200,Bangkok,กรุงเทพมหานคร,Phra Nakhon,พระนคร,Phra Borom Maha Ratchawang,พระบรมมหาราชวัง,13.751,100.492
10200,Bangkok,กรุงเทพมหานคร,Phra Nakhon,พระนคร,Wang Burapha Phirom,วังบูรพาภิรมย์,13.744,100.499
10200,Bangkok,กรุงเทพมหานคร,Phra Nakhon,พระนคร,Wat Ratchabophit,วัดราชบพิธ,13.75,100.499
10200,Bangkok,กรุงเทพมหานคร,Phra Nakhon,พระนคร,Samran Rat,สำราญราษฎร์,13.751,100.503
10200,Bangkok,กรุงเทพมหานคร,Phra Nakhon,พระนคร,San Chao Pho Suea,ศาลเจ้าพ่อเสือ,13.754,100.497
10200,Bangkok,กรุงเทพมหานคร,Phra Nakhon,พระนคร,Sao Chingcha,เสาชิงช้า,13.753,100.5
10200,Bangkok,กรุงเทพมหานคร,Phra Nakhon,พระนคร,Bowon Niwet,บวรนิเวศ,13.757,100.501
10200,Bangkok,กรุงเทพมหานคร,Phra Nakhon,พระนคร,Talat Yot,ตลาดยอด,13.76,100.498
10200,Bangkok,กรุงเทพมหานคร,Phra Nakhon,พระนคร,Chana Songkhram,ชนะสงคราม,13.762,100.495
10200,Bangkok,กรุงเทพมหานคร,Phra Nakhon,พระนคร,Ban Phan Thom,บ้านพานถม,13.762,100.503
10200,Bangkok,กรุงเทพมหานคร,Phra Nakhon,พระนคร,Bang Khun Phrom,บางขุนพรหม,13.765,100.505
10200,Bangkok,กรุงเทพมหานคร,Phra Nakhon,พระนคร,Wat Sam Phraya,วัดสามพระยา,13.768,100.499
10300,Bangkok,กรุงเทพมหานคร,Dusit,ดุสิต,Dusit,ดุสิต,13.772,100.513
10300,Bangkok,กรุงเทพมหานคร,Dusit,ดุสิต,Wachira Phayaban,วชิรพยาบาล,13.778,100.505
10300,Bangkok,กรุงเทพมหานคร,Dusit,ดุสิต,Suan Chitlada,สวนจิตรลดา,13.767,100.52
10300,Bangkok,กรุงเทพมหานคร,Dusit,ดุสิต,Si Yaek Mahanak,สี่แยกมหานาค,13.758,100.517
10300,Bangkok,กรุงเทพมหานคร,Dusit,ดุสิต,Thanon Nakhon Chai Si,ถนนนครไชยศรี,13.789,100.522
10530,Bangkok,กรุงเทพมหานคร,Nong Chok,หนองจอก,Krathum Rai,กระทุ่มราย,13.823,100.897
10530,Bangkok,กรุงเทพมหานคร,Nong Chok,หนองจอก,Nong Chok,หนองจอก,13.869,100.885
10530,Bangkok,กรุงเทพมหานคร,Nong Chok,หนองจอก,Khlong Sip,คลองสิบ,13.914,100.82
10530,Bangkok,กรุงเทพมหานคร,Nong Chok,หนองจอก,Khlong Sip Song,คลองสิบสอง,13.914,100.88
10530,Bangkok,กรุงเทพมหานคร,Nong Chok,หนองจอก,Khok Faet,โคกแฝด,13.84,100.836
10530,Bangkok,กรุงเทพมหานคร,Nong Chok,หนองจอก,Khu Fang Nuea,คู้ฝั่งเหนือ,13.872,100.81
10530,Bangkok,กรุงเทพมหานคร,Nong Chok,หนองจอก,Lam Phak Chi,ลำผักชี,13.797,100.844
10530,Bangkok,กรุงเทพมหานคร,Nong Chok,หนองจอก,Lam Toiting,ลำต้อยติ่ง,13.781,100.877
10500,Bangkok,กรุงเทพมหานคร,Bang Rak,บางรัก,Maha Phruettharam,มหาพฤฒาราม,13.734,100.52
10500,Bangkok,กรุงเทพมหานคร,Bang Rak,บางรัก,Si Lom,สีลม,13.73,100.525
10500,Bangkok,กรุงเทพมหานคร,Bang Rak,บางรัก,Suriyawong,สุริยวงศ์,13.724,100.53
10500,Bangkok,กรุงเทพมหานคร,Bang Rak,บางรัก,Bang Rak,บางรัก,13.727,100.527
10500,Bangkok,กรุงเทพมหานคร,Bang Rak,บางรัก,Si Phraya,สี่พระยา,13.725,100.514
10220,Bangkok,กรุงเทพมหานคร,Bang Khen,บางเขน,Anusawari,อนุสาวรีย์,13.868,100.606
10220,Bangkok,กรุงเทพมหานคร,Bang Khen,บางเขน,Tha Raeng,ท่าแร้ง,13.866,100.65
10240,Bangkok,กรุงเทพมหานคร,Bang Kapi,บางกะปิ,Khlong Chan,คลองจั่น,13.786,100.635
10240,Bangkok,กรุงเทพมหานคร,Bang Kapi,บางกะปิ,Hua Mak,หัวหมาก,13.756,100.66
10330,Bangkok,กรุงเทพมหานคร,Pathum Wan,ปทุมวัน,Rong Mueang,รองเมือง,13.744,100.52
10330,Bangkok,กรุงเทพมหานคร,Pathum Wan,ปทุมวัน,Wang Mai,วังใหม่,13.742,100.526
10330,Bangkok,กรุงเทพมหานคร,Pathum Wan,ปทุมวัน,Pathum Wan,ปทุมวัน,13.74,100.535
